prov_site,job_desc,site_id,work_order,client,province,city,address,postal_code,date_scheduled_raw,start_time_raw
QC-100454,Cradlepoint Only,100454,,GOCO,QC,Chicoutimi,1494 boul. Talbot ,G7H 4C2,22-Jun,9am
QC-102803,Cradlepoint Only,102803,,GOCO,QC,Chicoutimi,1401 boul. Talbot (Place du Royaume) ,G7H 6E1,22-Jun,12pm
QC-102788,Cradlepoint Only,102788,,GOCO,QC,Chicoutimi,1050 Ste-Genevieve ,G7G 2G6,25-Jun,9am
QC-106273,Cradlepoint Only,106273,,GOCO,QC,Chicoutimi,2075 Tadoussac ,G7G 2V1,25-Jun,12pm
QC-102332,Cradlepoint Only,102332,,GOCO,QC,Jonquiere,2390 boul. Rene-Levesque ,G7S 5Y5,26-Jun,
QC-102777,Cradlepoint Only,102777,,GOCO,QC,Jonquiere,2667 boul du Royaume ,G7S 5B8,26-Jun,
QC-103904,Cradlepoint Only,103904,,GOCO,QC,Jonquiere,3587 Boul Harvey ,G7X 3B5,29-Jun,
QC-104041,Cradlepoint Only,104041,,GOCO,QC,Jonquiere,3895 Des Mouettes ,G7X 0M4,29-Jun,
QC-100501,Cradlepoint Only,100501,,GOCO,QC,Alma,1049 avenue Du Pont sud ,G8B 0E8,30-Jun,
QC-104994,Cradlepoint Only,104994,,GOCO,QC,Jonquiere,3820 BD Harvey ,G7X8T5,30-Jun,
QC-105219,Cradlepoint Only,105219,,GOCO,QC,Alma,1775 Avenue Du Pont S ,G8B 6N3,2-Jul,
QC-106106,Cradlepoint Only,106106,,GOCO,QC,Metabetchouan,7 Rue des Erables ,G8G 1B3,2-Jul,
QC-102988,Cradlepoint Only,102988,,GOCO,QC,St-Felicien,1180 boul. St-Felicien ,G8K 0A6,3-Jul,
QC-103094,Cradlepoint Only,103094,,GOCO,QC,Roberval,690 boul. Marcotte ,G8H 1Z6,3-Jul,
QC-102928,Cradlepoint Only,102928,,GOCO,QC,Dolbeau-Mistassini,245 8e Avenue ,G8L 1Z5,6-Jul,
QC-107322,Cradlepoint Only,107322,,GOCO,QC,Forestville,"181, road 138 ",G0T 1E0,7-Jul,12pm
QC-100343,Cradlepoint Only,100343,,GOCO,QC,Sept-Iles,399 av. Gamache ,G4R 2H6,8-Jul,9am
QC-100127,Cradlepoint Only,100127,,GOCO,QC,Sept-Iles,810 Boul Laure ,G4R 1Y8,8-Jul,9am
QC-100942,Cradlepoint Only,100942,,GOCO,QC,Sept-Iles,598 boul. Laure ,G4R 1X7,9-Jul,12pm
QC-105404,Cradlepoint & Velocloud,105404,,GOCO,QC,Havre-Saint-Pierre,938-958 BLVD Du Cometique ,G0G 1P0,10-Jul,12pm
QC-100154,Cradlepoint & Velocloud,100154,,GOCO,QC,Baie-Comeau,665 boul. Lafleche ,G5C 1C4,13-Jul,12pm
