prov_site,job_desc,site_id,work_order,client,province,city,address,postal_code,date_scheduled_raw,start_time_raw
QC-106367,Cradlepoint Only,106367,,GOCO,QC,La Sarre,632 - 2e rue LaSarre ,J9Z 2S5,27-Feb,9am
QC-101151,Cradlepoint & Velocloud,101151,506918,GOCO,QC,Pointe Aux Trembles,12775 rue Sherbrooke Est ,H1A 3V9,2-Mar,12pm
QC-103758,Cradlepoint & Velocloud,103758,506977,GOCO,QC,Montreal,15550 Rue Sherbrooke E ,H1A 3R1,2-Mar,9am
QC-104421,Cradlepoint & Velocloud,104421,506981,GOCO,QC,Pointe Aux Trembles,1220 boul Saint-Jean-Baptiste ,H1B 4A4,3-Mar,9am
QC-104838,Cradlepoint & Velocloud,104838,506832,GOCO,QC,Montreal - Est,10725 Boulevard Henri-Bourassa Est ,H1C 1S9,3-Mar,12pm
QC-103064,Cradlepoint Only,103064,,GOCO,QC,Drummondville,2279 boul. Mercure ,J2B 3R8,3-Mar,
QC-105077,Cradlepoint Only,105077,,GOCO,QC,Drummondville,2710 St-Pierre St ,J2C 0P9,3-Mar,
QC-102477,Cradlepoint & Velocloud,102477,506865,GOCO,QC,Montreal,3611 Blvd Henri-Bourassa E. ,H1H 1J5,4-Mar,12pm
QC-104469,Cradlepoint & Velocloud,104469,506956,GOCO,QC,Montreal,12451 Rodolphe-Foget bd ,H1E 0A2,4-Mar,9am
QC-100517,Cradlepoint Only,100517,,GOCO,QC,Drummondville,300 boul. St-Joseph ,J2C 2A8,4-Mar,
QC-101897,Velocloud Only,101897,506896,GOCO,QC,Montreal,5778 rue Notre-Dame Est ,H1N 2C6,5-Mar,12pm
QC-102800,Cradlepoint & Velocloud,102800,506874,GOCO,QC,Montreal,7295 boul. Les Galeries d Anjou ,H1M 2W2,5-Mar,9am
QC-100130,Cradlepoint & Velocloud,100130,,GOCO,QC,Victoriaville,90 boul. Des Bois-Francs Sud ,G6P 4S1,5-Mar,
QC-102966,Cradlepoint & Velocloud,102966,,GOCO,QC,Becancour,4850 avenue Fardel ,G9H 1V6,5-Mar,
QC-102589,Cradlepoint & Velocloud,102589,506871,GOCO,QC,Montreal,5005 Jean-Talon Est ,H1S 3G6,6-Mar,12pm
QC-103881,Cradlepoint & Velocloud,103881,506980,GOCO,QC,Montreal,6245 Métropolitain est ,H1S 1A9,6-Mar,9am
QC-101920,Cradlepoint & Velocloud,101920,,GOCO,QC,Drummondville,1190 boul. Lemire ,J2C 7W6,6-Mar,12pm
QC-103063,Cradlepoint & Velocloud,103063,,GOCO,QC,Plessisville,1400 rue eDouard-Dufour ,G6L 5S2,6-Mar,
QC-101918,Cradlepoint & Velocloud,101918,506901,GOCO,QC,Montreal,9485 boul. St-Laurent ,H2N 1P6,9-Mar,12pm
QC-104290,Cradlepoint & Velocloud,104290,506976,GOCO,QC,Montreal,3634 Rue Ontario east ,H1W 1R7,9-Mar,9am
QC-102593,Cradlepoint & Velocloud,102593,506872,GOCO,QC,Montreal,674 Sherbrooke Ouest ,H3A 1E7,10-Mar,9am
QC-103966,Cradlepoint & Velocloud,103966,506843,GOCO,QC,Montreal,"1508 Rue de Bleury, ",H3A 2J2,10-Mar,12pm
QC-101575,Cradlepoint & Velocloud,101575,506911,GOCO,QC,Montreal,5985 ch. De La Cete-des-Neiges ,H3S 1Z2,11-Mar,9am
QC-105858,Cradlepoint & Velocloud,105858,506954,GOCO,QC,Montreal,3600 Notre Dame Ouest ,H4C 1PC,11-Mar,12pm
QC-101317,Velocloud Only,101317,506916,GOCO,QC,Montreal,9255 boul. De LAcadie ,H4N 3K1,12-Mar,9am
QC-101860,Velocloud Only,101860,506893,GOCO,QC,Laval,825 boul. Vanier ,H7C 2R3,12-Mar,12pm
QC-104218,Cradlepoint & Velocloud,104218,506974,GOCO,QC,Laval,"1845, St-Elzear ouest, ",H7L 3N6,13-Mar,12pm
QC-105920,Velocloud Only,105920,506955,GOCO,QC,Laval,"2475 Boul St-Martin Est, ",H7E 5B4,13-Mar,9am
QC-102155,Cradlepoint Only,102155,,GOCO,QC,Sherbrooke,1680 rue King Est ,J1G 5G6,16-Mar,
QC-102776,Cradlepoint & Velocloud,102776,,GOCO,QC,Sherbrooke,4470 boul. Bourque ,J1N 1S3,16-Mar,
QC-100859,Velocloud Only,100859,506922,GOCO,QC,Vimont,2070 boul. Des Laurentides ,H7M 2R5,16-Mar,9am
QC-102469,Velocloud Only,102469,506985,GOCO,QC,Laval,"4333, Autoroute 13 ",H7P 4W6,16-Mar,12pm
QC-102791,Cradlepoint & Velocloud,102791,,GOCO,QC,Sherbrooke,5035 boul. Industriel ,J1R 0P4,17-Mar,
QC-102999,Cradlepoint Only,102999,,GOCO,QC,Sherbrooke,1785 rue King Ouest ,J1J 2E1,17-Mar,
QC-100677,Cradlepoint & Velocloud,100677,506923,GOCO,QC,Laval,"5250, Arthur-Sauve ",H7R 3X1,17-Mar,12pm
QC-102554,Cradlepoint & Velocloud,102554,506867,GOCO,QC,Laval,2910 rue Lucien LAllier ,H7P 6C7,17-Mar,9am
QC-103619,Cradlepoint Only,103619,,GOCO,QC,Sherbrooke,5986 Chemin de St-Elie ,J1R 0L1,18-Mar,
QC-103673,Velocloud Only,103673,,GOCO,QC,Sherbrooke,"2015, 12ème Avenue Nord ",J1E 4J5,18-Mar,
QC-102389,Cradlepoint & Velocloud,102389,506882,GOCO,QC,Laval,3265 boul. St Martin Ouest ,H7T 1S2,18-Mar,12pm
QC-104523,Cradlepoint & Velocloud,104523,506830,GOCO,QC,Laval,2910 Rue Etienne-Lenoir ,H7R 6J4,18-Mar,9am
QC-103740,Cradlepoint Only,103740,,GOCO,QC,Sherbrooke,3550 rue Galt ouest ,J1H 0A5,19-Mar,
QC-104671,Cradlepoint Only,104671,,GOCO,QC,Sherbrooke,4857 Boul Bourque ,J1N 1E8,19-Mar,
QC-100669,Cradlepoint & Velocloud,100669,506925,GOCO,QC,Lasalle,8481 boul. Newman ,H8N 2Y7,19-Mar,12pm
QC-102060,Velocloud Only,102060,506900,GOCO,QC,Laval,760 rue Desserte Ouest ,H7X 3S9,19-Mar,9am
QC-104840,Cradlepoint Only,104840,,GOCO,QC,Magog,2911 Chemin Milletta Local 140,J1X 0R4,20-Mar,
QC-104855,Cradlepoint Only,104855,,GOCO,QC,Magog,1859 Rue Sherbrooke ,J1X 2T5,20-Mar,
QC-101200,Cradlepoint & Velocloud,101200,506917,GOCO,QC,Lachine,10592 ch. De La Cete-de-Liesse ,H8T 1A4,20-Mar,12pm
QC-101815,Cradlepoint & Velocloud,101815,506891,GOCO,QC,Lachine,5 av. St-Pierre ,H8R 1N8,20-Mar,9am
QC-106272,Cradlepoint Only,106272,,GOCO,QC,Sherbrooke,3050 Boulevard Portland Unit N08a (Carrefour l'Estrie),J1L 1K1,23-Mar,
QC-106858,Velocloud Only,106858,,GOCO,QC,Sherbrooke,413 Rue Belvédère S ,J1H 4B7,23-Mar,
QC-103658,Cradlepoint Only,103658,507343,GOCO,QC,Beaconsfield,108 De BeauRepaire ,H9W 0A1,23-Mar,9am
QC-104194,Cradlepoint Only,104194,507450,GOCO,QC,Vaudreuil Dorion,2909 De La Gare BD ,J7V 9R2,23-Mar,12pm
QC-104124,Cradlepoint & Velocloud,104124,,GOCO,QC,Richmond,150 Route 116 ,J0B2H0,24-Mar,
QC-104706,Cradlepoint Only,104706,,GOCO,QC,Windsor,2 Route 249 ,J1S 2T7,24-Mar,
QC-102929,Cradlepoint Only,102929,507461,GOCO,QC,Ste-Anne-des-Plaines,427 boul. Ste-Anne ,J0N 1H0,24-Mar,12pm
QC-105574,Cradlepoint Only,105574,507143,GOCO,QC,Mirabel,18205 Boul De Versailles ,J0N 0R6,24-Mar,9am
QC-103434,Cradlepoint & Velocloud,103434,,GOCO,QC,Coaticook,237 Main Est ,J1A 1N4,25-Mar,
QC-102251,Cradlepoint Only,102251,507467,GOCO,QC,Ste-Marthe-sur-le-Lac,3003 ch. DOka suite 200 ,J0N 1P0,25-Mar,9am
QC-104392,Cradlepoint Only,104392,507453,GOCO,QC,St-Joseph-du-Lac,3786 CH d'Oka ,J0N1M0,25-Mar,12pm
QC-104737,Cradlepoint Only,104737,507149,GOCO,QC,Repentigny,225 Rue St Paul ,J5Z2H9,26-Mar,9am
QC-105091,Cradlepoint & Velocloud,105091,506966,GOCO,QC,Repentigny,457 Boul. Lacombe ,J5Z 1P2,26-Mar,12pm
QC-100699,Cradlepoint Only,100699,507301,GOCO,QC,Repentigny,111 boul. Industriel ,J6A 4X5,27-Mar,9am
QC-100430,Cradlepoint & Velocloud,100430,506934,GOCO,QC,Repentigny,85 boul. Brien ,J6A 8B6,30-Mar,12pm
QC-103503,Cradlepoint Only,103503,507165,GOCO,QC,Terrebonne,1157 Montée des Pionniers ,J6V1P1,30-Mar,9am
QC-101085,Cradlepoint Only,101085,507209,GOCO,QC,Terrebonne,2980 ch. Gascon ,J6X 3Z3,31-Mar,9am
QC-103498,Cradlepoint Only,103498,507164,GOCO,QC,Terrebonne,"2795, BOUL. DES PLATEAUX ",J6X 4S8,31-Mar,12pm
